song name,genre,artist name,artist country
Give Me Love,"Folk,Alternative Folk",Ed Sheeran,
When We Were Young,Soul,Adele,GB
Oblivion,"New Wave,Adult Alternative,Indie Pop,Alternative,Rock",Bastille,
Nothing Like Us,"Pop,Vocal",Justin Bieber,CA
Sad Song,Pop,We The Kings,US
All of the Stars,"Adult Alternative,Pop",Ed Sheeran,
The Weight,Pop,Shawn Mendes,CA
Just A Little Bit Of Your Heart,Pop,Ariana Grande,US
People Help the People,,Birdy,US
Kiss Me,Singer/Songwriter,Ed Sheeran,
Heal,"Adult Alternative,Alternative",Tom Odell,GB
Never Be Alone,Pop,Shawn Mendes,CA
Life Is Worth Living,"Music,Pop",Justin Bieber,CA
Skyscraper,"Soul,Pop",Demi Lovato,US
Try,Pop,Colbie Caillat,US
The Climb,"Contemporary Country,Teen Pop,Pop",Miley Cyrus,US
Life Of The Party,Pop,Shawn Mendes,CA
If I Could Fly,"Pop,Rock",One Direction,
Who You Are,"Soft Rock,Pop",Jessie J,GB
Let Her Go,Folk-Rock,Passenger,GB
The A Team,"Jazz,Folk",Ed Sheeran,
If I Were a Boy,Pop,Beyoncé,US
Imagination,Pop,Shawn Mendes,CA
Make It To Me,Pop,Sam Smith,GB
Goodbye My Lover,,James Blunt,GB
Fix a Heart,Pop,Demi Lovato,US
Broken-Hearted Girl,Pop,Beyoncé,US
My Everything,Pop,Ariana Grande,US
Beneath Your Beautiful (feat. Emeli Sandé),"Contemporary R&B,R&B/Soul",Labrinth,
Make You Feel My Love,"Music,Pop",Adele,GB
California King Bed,"Pop,Rock,Pop/Rock",Rihanna,
Turning Tables,"Music,Pop",Adele,GB
River Flows In You - Original,New Age,Yiruma,KR
A Place Like This,Pop,Majid Jordan,CA
Her,Pop,Majid Jordan,CA
Just A Dream,"Rap,Contemporary R&B,Pop,Hip Hop/Rap",Nelly,
Not In That Way,Pop,Sam Smith,GB
Bed Of Lies,Hip Hop/Rap,Nicki Minaj,
Dancing On My Own,Pop,Calum Scott,
I'm Not The Only One,Soul,Sam Smith,GB
Take A Bow,Pop,Rihanna,
That Should Be Me,Pop,Justin Bieber,CA
Breakeven,"Pop/Rock,Adult Alternative,Pop",The Script,GB
"She's Not Me, Pt. 1 & 2",,Zara Larsson,SE
So Sick,Contemporary R&B,Ne-Yo,US
Impossible - Main,Pop,Shontelle,BB
Young And Beautiful,"Pop,Alternative,Pop/Rock",Lana Del Rey,US
White Houses,"Pop,Rock",Vanessa Carlton,US
Chasing Pavements,,Adele,GB
Babe,Pop,Emeli Sandé,GB
Midnight Sky,"Pop/Rock,Disco,Electronic",Miley Cyrus,US
I Forgot That You Existed,"Music,Pop",Taylor Swift,US
A Letter To My Younger Self (feat. Logic),Music,Quinn XCII,
I Think I'm OKAY (with YUNGBLUD & Travis Barker),,Machine Gun Kelly,
Anti-Everything - Jake Wolfe Remix,Electronic,Lost Kings,
Head & Heart (feat. MNEK),,Joel Corry,
Giants,Music,Dermot Kennedy,
The Bones - with Hozier,Music,Maren Morris,
Looking For Me,"Electronic,Pop",Paul Woolford,
Crashing (feat. Bahari),,ILLENIUM,
Back of My Mind,Hip Hop/Rap,Trippie Redd,
Heaven On My Mind (with Sigala),Music,Becky Hill,
That's What You Get,"Pop/Rock,Adult Alternative,EMO,Pop Punk,Alternative,Rock",Paramore,US
Say You Love Me - Alex Adair Remix,"Fitness & Workout,Pop,Music",Jessie Ware,GB
Shotgun - Radio Edit,Dance,Yellow Claw,
Mistakes - Paul Woolford Remix,,Jonas Blue,
