song name,genre,artist name,artist country
Freak (feat. REI AMI),,Sub Urban,
3 Musketeers,,NextYoungin,
Istanbul,Downtempo,Drinche,
Outside (feat. Ellie Goulding),,Calvin Harris,
ily,"Music,Dance",Surf Mesa,
Pussy Talk,,City Girls,
Someone To You,"Music,Alternative",BANNERS,
"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)","Rap,Hip Hop/Rap",Quality Control,
Perfect (feat. City Girls),Hip Hop/Rap,Cousin Stizz,
Love Story,Country,Taylor Swift,US
24,Music,Money Man,
Famous (I'm The One) (feat. Yo Gotti & DeJ Loaf),,Mozzy,
"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Music,Tainy,
PYRO,Dance,Chester Young,
Drank & Drugs,,Lil Kleine,
Renee,Pop,SALES,
I Like Him,Music,Princess Nokia,US
Address It,Music,LPB Poody,
overwhelmed,Music,Royal & the Serpent,
NEVER MET!,"Music,Dance",CMTEN,
Know Yourself,Hip Hop/Rap,Drake,
Deep End Freestyle,Music,Sleepy Hallow,
Kolors,,monte booker,
Figure It Out,Alternative,Blu DeTiger,
Ice Me Out,"Music,Hip Hop/Rap",Kash Doll,
nursery,,bbno$,
Rockstar Shit,Hip Hop/Rap,BLIND.SEE,
You're Somebody Else,Pop,flora cash,SE
Shhh (Pew Pew),"Hip-Hop,Hip Hop/Rap",Young Fanatic,
Fuck It up (feat. Yg),,Kamaiyah,
For a Minute,"Music,Hip Hop/Rap",WizTheMc,
Honeypie,,JAWNY,
Butterflies,Electronic,Fiji Blue,
Little Things (with Quinn XCII & Chelsea Cutler),Music,Louis The Child,
Long Beach,,Kota the Friend,
Doses & Mimosas,Alternative,Cherub,US
Bodies,Electronic,The Knocks,
Purple Hat,"Music,Dance",Sofi Tukker,
I Leave Again (Japanese Wallpaper Remix),Electronic,Petit Biscuit,
Birthday,Music,Disclosure,
DOLORES,Music,James Mantis,
That Don't Mean A Thing,R&B/Soul,Kyle Dion,
Floating (feat. Khalid) [filous Remix],,Alina Baraz,
mas queso,Music,FLOYD WONDER,
Dollar,Pop,Electric Guest,US
Moon (And It Went Like),"Pop,Electronic,Music",Kid Francescoli,FR
Smoke and Mirrors,,DOUBLECAMP,
eighty-five,,again&again,
Big Love (with EARTHGANG & MNDR),Music,Louis The Child,
Whatever You Want,Music,Kaptan,
Tokyo Drifting (with Denzel Curry),Music,Glass Animals,GB
ABC,,박혜진 Park Hye Jin,
Marigold,"Pop,Alternative",Tommy Newport,
Weekend,"Music,Alternative",Clubhouse,
Group Therapy,,Elohim,
Nirvana,Electronic,ELLIANA,
Lose My Mind (feat. Mr Gabriel),,Jai Wolf,
Running Red Lights (feat. Rivers Cuomo & Pink Siifu),,The Avalanches,
Acetone,"Pop,Alternative",Landon Conrath,
Imaginary Friends - St. Lucia Remix,Music,Japanese Wallpaper,
Potions,Music,Day Wave,
Nothing,Electronic,SADBOii,
Nostalgic - filous Remix,Alternative,A R I Z O N A,
Deep Sea Diver,Music,The Foxies,
Everybody Wants To Be Loved,Alternative,Yoke Lore,
Loser,Music,Mob Rich,
dancing around,"Music,Alternative",flor,
Play Too Much,Alternative,Kyle Dion,
Crashing (feat. Bahari),,ILLENIUM,
Summer,Alternative,Chloe Lilac,
Friends,"Music,Electronic",Big Gigantic,
Yasmin you will never hear this,Alternative,Mikey Mike,
Pink & Blue - RAC Mix,"Music,Electronic",Tycho,US
Throwaway (with Clairo),,SG Lewis,
Habit,"Music,R&B/Soul",Still Woozy,
Stay With Me (feat. Jeremy Zucker),,ayokay,
I'm Good,"Music,Pop",Wafia,
Favorite Drug,"Soundtrack,Music,Soundtrack",daydream Masi,
Feels Like a Dream,Pop,Emilee,
Love Not Loving You,Dance,Foxes,GB
Real For You,Alternative,James Hersey,AT
The River,Pop,AURORA,
Carousel,"Indie Pop,Alternative",Skylar Spence,
Cold Blooded,"Electronic,Electronic",Jarami,
11 Hours - Branchez Remix,Alternative,Wet,
Red Hearse,Pop,Red Hearse,
Sweet Little Lies,,bülow,
Just a Little Longer,Pop,SHY Martin,
Paper Cut,"Music,Pop",Sophie Simmons,
Warpaint,Pop,88rising,
Peach,"Pop,Alternative,Downtempo",BROODS,NZ
Don't You Give Up,"Dance,Alternative",Dansu,
Better,Electronic,SG Lewis,
Crush,"Pop,Alternative",Tessa Violet,
The City (with Quinn XCII),,Louis The Child,
Groceries,"Music,Pop",Mallrat,
Be Real,,Rasmus Faber,
Freaking Out,"Music,Alternative",A R I Z O N A,
If You're Over Me,"Oldies,Pop",Years & Years,GB
Ancient Price,Instrumental,Steris,
Permanent Ground,,Duy Vu,
Out There,Instrumental,Joseph Nimoh,
The Notes of All,,Genibe,
Rose On Hearts,,Zorvis,
Sharp,Classical,Giuliano Poles,
Possessive,Instrumental,Fliris,
